Institution ID,Inst CRM ID,Dept Name,Department ID
ABA Centre ROSTOK,D47AA861-4755-E911-8106-000C29A8E632,Resource Center for Inclusion in Education,8479
ABA Centre ROSTOK,D47AA861-4755-E911-8106-000C29A8E632,Registered Course,9804
ABA Spain Madrid,0857E065-6200-E411-BEB5-00505683000D,UnNamedDepartment,8568
ABA Spain Madrid,0857E065-6200-E411-BEB5-00505683000D,ABA España,8492
ABA Spain Madrid,0857E065-6200-E411-BEB5-00505683000D,Registered Course,9805
ABA Training Solutions,F6102C78-BD54-E911-8106-000C29A8E632,UnNamedDepartment,8532
ABA Training Solutions,F6102C78-BD54-E911-8106-000C29A8E632,Registered Course,9806
ABA-CARDP,CA01C35E-A15B-E911-8106-000C29A8E632,ABA-CARDP,8242
ABA-CARDP,CA01C35E-A15B-E911-8106-000C29A8E632,Registered Course,9807
Al-Balqa' Applied University,,Registered Course,9808
Al-Balqa' Applied University,,Unknown,11908
Alcanzando,DEB48AAF-BE54-E911-8106-000C29A8E632,Alcanzando,8330
Alcanzando,DEB48AAF-BE54-E911-8106-000C29A8E632,Registered Course,9809
American University of Beirut,2545EF0A-BC54-E911-8106-000C29A8E632,Psychology,8435
American University of Beirut,2545EF0A-BC54-E911-8106-000C29A8E632,Registered Course,9810
Antioch University,297383A1-F5B1-E811-8102-000C29A8E632,Applied Behavior Analysis Certificate Program,8255
Antioch University,297383A1-F5B1-E811-8102-000C29A8E632,Registered Course,9811
Arcadia University,16E6FC4D-6200-E411-BEB5-00505683000D,Education,8263
Arcadia University,16E6FC4D-6200-E411-BEB5-00505683000D,Registered Course,9812
Argosy University Phoenix,,Registered Course,9813
Argosy University Phoenix,,Unknown,11909
Arizona State University,809421AC-5BF0-E511-A054-0050569C00A7,Educational Leadership and Innovation,8274
Arizona State University,809421AC-5BF0-E511-A054-0050569C00A7,Psychology,8611
Arizona State University,809421AC-5BF0-E511-A054-0050569C00A7,Registered Course,9814
Arizona State University,809421AC-5BF0-E511-A054-0050569C00A7,Special Education,11807
Association Agir et Vivre l'Autisme,C4EA6C4C-4855-E911-8106-000C29A8E632,Association,8607
Association Agir et Vivre l'Autisme,C4EA6C4C-4855-E911-8106-000C29A8E632,UnNamedDepartment,8626
Association Agir et Vivre l'Autisme,C4EA6C4C-4855-E911-8106-000C29A8E632,Registered Course,9815
Association for training in Neurodevelopment Monorodi,F80242BD-4955-E911-8106-000C29A8E632,Monorodi,8475
Association for training in Neurodevelopment Monorodi,F80242BD-4955-E911-8106-000C29A8E632,Registered Course,9816
Association Francaise de L'ABA,6B836A1E-4B55-E911-8106-000C29A8E632,UnNamedDepartment,8447
Association Francaise de L'ABA,6B836A1E-4B55-E911-8106-000C29A8E632,Psychology,8509
Association Francaise de L'ABA,6B836A1E-4B55-E911-8106-000C29A8E632,Registered Course,9817
"Associations for the Advancement of Radical Behavior Analysis and the Italian-American Association of Behavior Analysis and Modification, and Behavioral-Cognitive Therapy (AARBA-AIAMC)",97CE5E1E-A15B-E911-8106-000C29A8E632,AARBA-AIAMC,8555
"Associations for the Advancement of Radical Behavior Analysis and the Italian-American Association of Behavior Analysis and Modification, and Behavioral-Cognitive Therapy (AARBA-AIAMC)",97CE5E1E-A15B-E911-8106-000C29A8E632,Registered Course,9818
Assumption College,75B2BBC9-4B55-E911-8106-000C29A8E632,Psychology,8245
Assumption College,75B2BBC9-4B55-E911-8106-000C29A8E632,Registered Course,9819
Atbalsts Latvia,8BFEA0ED-4C55-E911-8106-000C29A8E632,Atbalsts Latvia,8575
Atbalsts Latvia,8BFEA0ED-4C55-E911-8106-000C29A8E632,Registered Course,9820
Atbalsts Latvia,8BFEA0ED-4C55-E911-8106-000C29A8E632,Education,10709
Auburn University,D99548F8-CC92-E511-A86B-0050569C00A7,Special Education,8299
Auburn University,D99548F8-CC92-E511-A86B-0050569C00A7,Psychology,8217
Auburn University,D99548F8-CC92-E511-A86B-0050569C00A7,Registered Course,9821
Aurora University,0399D86B-6200-E411-BEB5-00505683000D,Behavior Analysis,8272
Aurora University,0399D86B-6200-E411-BEB5-00505683000D,Applied Behavior Analysis,8416
Aurora University,0399D86B-6200-E411-BEB5-00505683000D,Registered Course,9822
Azerbaijan Agdam Social College,7D7A5632-A15B-E911-8106-000C29A8E632,Department of Additional and Continuing Education,8232
Azerbaijan Agdam Social College,7D7A5632-A15B-E911-8106-000C29A8E632,Registered Course,9823
Azusa Pacific University,609D71D6-4E55-E911-8106-000C29A8E632,Education,8361
Azusa Pacific University,609D71D6-4E55-E911-8106-000C29A8E632,Registered Course,9824
Baekseok University,0F8D354C-4F55-E911-8106-000C29A8E632,Education,8220
Baekseok University,0F8D354C-4F55-E911-8106-000C29A8E632,Registered Course,9825
Ball State University,E7D84F21-F2B1-E411-B490-0050569C00A7,Special Education,8608
Ball State University,E7D84F21-F2B1-E411-B490-0050569C00A7,Registered Course,9826
Bangor University,C5834E19-5555-E911-8106-000C29A8E632,School of Psychology,8331
Bangor University,C5834E19-5555-E911-8106-000C29A8E632,Registered Course,9827
Bangor University,C5834E19-5555-E911-8106-000C29A8E632,Psychology,10707
Bangor University,C5834E19-5555-E911-8106-000C29A8E632,Unknown,11910
Bay Path University,4E99D86B-6200-E411-BEB5-00505683000D,Education and Psychology,8619
Bay Path University,4E99D86B-6200-E411-BEB5-00505683000D,Registered Course,9828
Bay Path University,4E99D86B-6200-E411-BEB5-00505683000D,Unknown,11911
Baylor University,D22BD0DF-5755-E911-8106-000C29A8E632,Educational Psychology,8207
Baylor University,D22BD0DF-5755-E911-8106-000C29A8E632,Registered Course,9829
Behavior Momentum India,8298D86B-6200-E411-BEB5-00505683000D,Behavior Analysis,8302
Behavior Momentum India,8298D86B-6200-E411-BEB5-00505683000D,Registered Course,9830
Behaviour Analysis Academy,FF3D417C-5B55-E911-8106-000C29A8E632,Behaviour Analysis Academy of Malaysia,8280
Behaviour Analysis Academy,FF3D417C-5B55-E911-8106-000C29A8E632,Registered Course,9831
Behaviour Analysis Academy,FF3D417C-5B55-E911-8106-000C29A8E632,Behavior Analysis,11007
Beijing Normal University,D775280C-6B55-E911-8106-000C29A8E632,Special Education,8803
Beijing Normal University,D775280C-6B55-E911-8106-000C29A8E632,Education Research Center for Children with Autism,8354
Beijing Normal University,D775280C-6B55-E911-8106-000C29A8E632,Registered Course,9832
Beit Berl College,D3152715-6E55-E911-8106-000C29A8E632,Behavior Analysis,8403
Beit Berl College,D3152715-6E55-E911-8106-000C29A8E632,Registered Course,9833
Berry College,2EA32770-6F55-E911-8106-000C29A8E632,Psychology,8342
Berry College,2EA32770-6F55-E911-8106-000C29A8E632,Registered Course,9834
Biruni University,AEB38661-7055-E911-8106-000C29A8E632,Education,8329
Biruni University,AEB38661-7055-E911-8106-000C29A8E632,Registered Course,9835
Boston College,,Registered Course,9836
Boston College,,,11912
Bowling Green State University,9CB928ED-DC57-E911-8106-000C29A8E632,Special Education,8214
Bowling Green State University,9CB928ED-DC57-E911-8106-000C29A8E632,Registered Course,9837
Brandman University,5B00FF28-7155-E911-8106-000C29A8E632,Special Education,8616
Brandman University,5B00FF28-7155-E911-8106-000C29A8E632,Extended Education,8613
Brandman University,5B00FF28-7155-E911-8106-000C29A8E632,Registered Course,9838
Briar Cliff University,B8772B4D-7255-E911-8106-000C29A8E632,Psychology,8522
Briar Cliff University,B8772B4D-7255-E911-8106-000C29A8E632,Registered Course,9839
Brigham Young University,49E7FC4D-6200-E411-BEB5-00505683000D,Counseling Psychology and Special Education,8544
Brigham Young University,49E7FC4D-6200-E411-BEB5-00505683000D,Registered Course,9840
Brock University,E798D86B-6200-E411-BEB5-00505683000D,Applied Disability Studies,8327
Brock University,E798D86B-6200-E411-BEB5-00505683000D,Registered Course,9841
Cairn University,21F28B1F-7355-E911-8106-000C29A8E632,UnNamedDepartment,8254
Cairn University,21F28B1F-7355-E911-8106-000C29A8E632,Special Education,8470
Cairn University,21F28B1F-7355-E911-8106-000C29A8E632,Registered Course,9842
Caldwell University,C678D8AB-2AB2-E411-B490-0050569C00A7,Applied Behavior Analysis,8256
Caldwell University,C678D8AB-2AB2-E411-B490-0050569C00A7,Registered Course,9843
California Polytechnic State University,,Registered Course,9844
California Polytechnic State University,,Unknown,11913
California State University Fresno,350ABAAD-1056-E911-8106-000C29A8E632,Psychology,8484
California State University Fresno,350ABAAD-1056-E911-8106-000C29A8E632,Registered Course,9845
California State University Los Angeles,20331563-1156-E911-8106-000C29A8E632,Special Education and Counseling,8266
California State University Los Angeles,20331563-1156-E911-8106-000C29A8E632,Department of Special Education & Counseling,8507
California State University Los Angeles,20331563-1156-E911-8106-000C29A8E632,Psychology,8536
California State University Los Angeles,20331563-1156-E911-8106-000C29A8E632,Registered Course,9846
California State University Monterey Bay,59412A2C-1256-E911-8106-000C29A8E632,Education,8612
California State University Monterey Bay,59412A2C-1256-E911-8106-000C29A8E632,Registered Course,9847
California State University Northridge,6EE7FC4D-6200-E411-BEB5-00505683000D,Psychology,8346
California State University Northridge,6EE7FC4D-6200-E411-BEB5-00505683000D,Registered Course,9848
California State University Sacramento,DD504B36-C7B2-E411-BF61-0050569C00A7,Psychology,8622
California State University Sacramento,DD504B36-C7B2-E411-BF61-0050569C00A7,Registered Course,9849
California State University San Marcos,E728FD71-1356-E911-8106-000C29A8E632,Education,8228
California State University San Marcos,E728FD71-1356-E911-8106-000C29A8E632,Registered Course,9850
California State University Stanislaus,0AF713D3-4B0A-E711-A8BD-0050569C00A7,Psychology,8250
California State University Stanislaus,0AF713D3-4B0A-E711-A8BD-0050569C00A7,Registered Course,9851
California University of Pennsylvania,EC053641-1556-E911-8106-000C29A8E632,Special Education,8580
California University of Pennsylvania,EC053641-1556-E911-8106-000C29A8E632,Registered Course,9852
Cambridge College,5B0A8A8E-59B1-E411-B490-0050569C00A7,Special Education,8434
Cambridge College,5B0A8A8E-59B1-E411-B490-0050569C00A7,Registered Course,9853
Cambridge College,5B0A8A8E-59B1-E411-B490-0050569C00A7,Education,11407
Capella University,F9056B9F-A32B-E911-8106-000C29A8E632,Psychology,8218
