internalid,custrecord_rc_crse_crm_id,externalid,custrecord_rc_course_title,custrecord_rc_course_number,custrecord_rc_course_credit_level,custrecord_rc_course_credit_hours,custrecord_rc_course_instruction_mode,COURSE_SEQUENCE_COURSE_ASIGNMENT_CRM_ID,custrecord_rc_course_institution_name_uniq,custrecord_rc_course_institution_name,custrecord_rc_course_inst,custrecord_rc_course_dept,rc_course_alterations,ID
25879,1fd8eb9f-2026-4653-af90-c4abb779f03f,1fd8eb9f-2026-4653-af90-c4abb779f03f,(Summer 2017) Professional Practice of ABA,ASD 612,Graduate,3,On-Campus,2de4b735-7bd4-4f19-aa1b-19b3ac0ef382,Elms College,Elms College,66C383BC-4C56-E911-8106-000C29A8E632,Communication Sciences and Disorders,{Number: ASD 712}{Title:Prof Prac of ABA },2de4b735-7bd4-4f19-aa1b-19b3ac0ef3821fd8eb9f-2026-4653-af90-c4abb779f03f
28466,c92c8f8e-35de-47cf-9db2-f4b96f96fe18,c92c8f8e-35de-47cf-9db2-f4b96f96fe18,Concepts and Principles of Behavior Analysis,101,Graduate,45,Hybrid,a6036983-079d-427e-829e-779b582ae1c0,SEEK Applied Behavior Analysis Association-Taiwan,SEEK Applied Behavior Analysis Association - Taiwan,7C77E117-035B-E911-8106-000C29A8E632,Behavior Analysis,{Number:101}{Title:Concepts and Principles of Behavior Analysis},a6036983-079d-427e-829e-779b582ae1c0c92c8f8e-35de-47cf-9db2-f4b96f96fe18
28766,6bfa3e5a-0c8c-4402-9a14-6a447c43d04e,6bfa3e5a-0c8c-4402-9a14-6a447c43d04e,Methods of Behavioral Assessment and Evaluation,102,Graduate,45,Hybrid,b4af2981-49aa-485b-a68d-48c0cdeb9bd8,SEEK Applied Behavior Analysis Association-Taiwan,SEEK Applied Behavior Analysis Association - Taiwan,7C77E117-035B-E911-8106-000C29A8E632,Behavior Analysis,{Number:102}{Title:Methods of Behavioral Assessment and Evaluation},b4af2981-49aa-485b-a68d-48c0cdeb9bd86bfa3e5a-0c8c-4402-9a14-6a447c43d04e
26600,878005df-d3eb-432f-ae18-a2243654ce08,878005df-d3eb-432f-ae18-a2243654ce08,Behavior Intervention,103,Graduate,45,Hybrid,4fc445c2-c06a-4b77-b725-fbf838cc2de5,SEEK Applied Behavior Analysis Association-Taiwan,SEEK Applied Behavior Analysis Association - Taiwan,7C77E117-035B-E911-8106-000C29A8E632,Behavior Analysis,{Number:103}{Title:Behavior Intervention},4fc445c2-c06a-4b77-b725-fbf838cc2de5878005df-d3eb-432f-ae18-a2243654ce08
27654,57350aea-4243-4667-a80c-fe598d2c9775,57350aea-4243-4667-a80c-fe598d2c9775,Behavior Analysis in Practice,104,Graduate,30,Hybrid,81ccff3b-0bd1-4a7d-8629-906d0407201e,SEEK Applied Behavior Analysis Association-Taiwan,SEEK Applied Behavior Analysis Association - Taiwan,7C77E117-035B-E911-8106-000C29A8E632,Behavior Analysis,{Number:104}{Title:Behavior Analysis in Practice},81ccff3b-0bd1-4a7d-8629-906d0407201e57350aea-4243-4667-a80c-fe598d2c9775
26596,d52d5626-8220-4425-af75-671fed3083f2,d52d5626-8220-4425-af75-671fed3083f2,Ethical Guidelines for Behavior Analysts,105,Graduate,15,Hybrid,4f756967-1c5c-42b6-aa19-d07a47e58608,SEEK Applied Behavior Analysis Association-Taiwan,SEEK Applied Behavior Analysis Association - Taiwan,7C77E117-035B-E911-8106-000C29A8E632,Behavior Analysis,{Number:105}{Title:Ethical Guidelines for Behavior Analysts},4f756967-1c5c-42b6-aa19-d07a47e58608d52d5626-8220-4425-af75-671fed3083f2
26582,bc9b4dc3-8438-4f85-aa6f-532b247ed8b7,bc9b4dc3-8438-4f85-aa6f-532b247ed8b7,Behavioral Consultation in Applied Settings,106,Graduate,30,Hybrid,4ea0ab5a-68a5-439f-8ea6-860f9a0ddf63,SEEK Applied Behavior Analysis Association-Taiwan,SEEK Applied Behavior Analysis Association - Taiwan,7C77E117-035B-E911-8106-000C29A8E632,Behavior Analysis,{Number:106}{Title:Behavior Consultation},4ea0ab5a-68a5-439f-8ea6-860f9a0ddf63bc9b4dc3-8438-4f85-aa6f-532b247ed8b7
29293,9f2e4b88-b2e1-4e88-8fe4-9ac58988e6a4,9f2e4b88-b2e1-4e88-8fe4-9ac58988e6a4,Behavioral Consultation,106,Graduate,30,Hybrid,cf3a6a57-78fc-4620-90a3-3aff79bd34f3,CAPPDR-SEEK,CAPPDR-SEEK,2090EE70-A15B-E911-8106-000C29A8E632,SEEK ABA-Taiwan,{Number:106}{Title:Behavioral Consultation},cf3a6a57-78fc-4620-90a3-3aff79bd34f39f2e4b88-b2e1-4e88-8fe4-9ac58988e6a4
25673,599a4d41-3053-4105-b3c6-dc8c68de8071,599a4d41-3053-4105-b3c6-dc8c68de8071,Measurement & Experimental Design of FBA and Interventions,107,Graduate,30,Hybrid,23dc6847-514e-4444-8ace-b35986899f4f,SEEK Applied Behavior Analysis Association-Taiwan,SEEK Applied Behavior Analysis Association - Taiwan,7C77E117-035B-E911-8106-000C29A8E632,Behavior Analysis,{Number:107}{Title:Measurement & Experimental Design of FBA and Interventions},23dc6847-514e-4444-8ace-b35986899f4f599a4d41-3053-4105-b3c6-dc8c68de8071
26389,59a57351-d7ca-4823-a448-3d7a7a19fed2,59a57351-d7ca-4823-a448-3d7a7a19fed2,Measurement & Experimental Design of FBA and Interventions,107,Graduate,30,Hybrid,46d0d340-f61f-4d53-9ece-85b2495a73f6,CAPPDR-SEEK,CAPPDR-SEEK,2090EE70-A15B-E911-8106-000C29A8E632,SEEK ABA-Taiwan,{Number:107}{Title:Measurement & Experimental Design of FBA and Interventions},46d0d340-f61f-4d53-9ece-85b2495a73f659a57351-d7ca-4823-a448-3d7a7a19fed2
