"custrecord_rc_crse_crm_id","externalid","custrecord_rc_course_title","custrecord_rc_course_number","custrecord_rc_course_credit_level","custrecord_rc_course_credit_hours","custrecord_rc_course_instruction_mode","custrecord_crse_seq_crm_id","custrecord_crse_seq_departmnt","custrecord_crse_seq_apprvl_level","custrecord_inst_crm_id","custrecord_inst_name","custrecord_rc_course_edition","custrecord_rc_crs_seq_crs_assgn","custrecord_crse_seq_name",
"8c560f55-0977-e311-9087-00155d445b26","8c560f55-0977-e311-9087-00155d445b26","Special Topics in Applied Behavior Analysis","PSY 558","Graduate","3","Hybrid","9105e4d8-f825-4867-9b36-c1e3e338d82e","Psychology","","6EE7FC4D-6200-E411-BEB5-00505683000D","California State University Northridge","Fourth Edition","f34d4895-b9da-4b8e-b0bd-00053bff84ca","4145 BCBA",
"bc06b3da-85bb-40e2-b360-9df78d027d3c","bc06b3da-85bb-40e2-b360-9df78d027d3c","Single-Case Experimental Design and Analysis","8706","Graduate","3","On-Campus","c1465ecb-3214-4a2d-90ba-0e0b4d9a7578","Education","Graduate","0514E85F-6200-E411-BEB5-00505683000D","University of Minnesota","Fourth Edition","dbdebab4-fb37-45f1-aea5-000980810468","4471 BCBA",
"c766238d-c60e-e911-8106-000c29a8e632","c766238d-c60e-e911-8106-000c29a8e632","Behavior Assessment","EPY 656","Graduate","4","Online","301a9fc8-c20e-e911-8106-000c29a8e632","Education","Graduate","3F7383A1-F5B1-E811-8102-000C29A8E632","Western Connecticut State University","Fifth Edition","c866238d-c60e-e911-8106-000c29a8e632","51003 BCBA",
"4d0f02f1-c80e-e911-8106-000c29a8e632","4d0f02f1-c80e-e911-8106-000c29a8e632","Principles of Applied Behavior Analysis","PS560","Graduate","5","Online","ea798a93-c80e-e911-8106-000c29a8e632","Psychology","Graduate","2634896C-6029-E911-8106-000C29A8E632","Purdue University Global","Fifth Edition","4e0f02f1-c80e-e911-8106-000c29a8e632","51025 BCBA",
"7183b1cc-cb0e-e911-8106-000c29a8e632","7183b1cc-cb0e-e911-8106-000c29a8e632","Principles of Behavior Analysis in Special Education","EDSP 686","Graduate","3","Both","95dab5b2-c70e-e911-8106-000c29a8e632","Education","Graduate","AFADA79E-C492-E511-A86B-0050569C00A7","University of Nevada Reno","Fifth Edition","7283b1cc-cb0e-e911-8106-000c29a8e632","51001 BCBA",
"35ae10dc-cd0e-e911-8106-000c29a8e632","35ae10dc-cd0e-e911-8106-000c29a8e632","Behavioral Systems in Education","EDSP 687","Graduate","3","Both","95dab5b2-c70e-e911-8106-000c29a8e632","Education","Graduate","AFADA79E-C492-E511-A86B-0050569C00A7","University of Nevada Reno","Fifth Edition","36ae10dc-cd0e-e911-8106-000c29a8e632","51001 BCBA",
"521776e4-cf0e-e911-8106-000c29a8e632","521776e4-cf0e-e911-8106-000c29a8e632","Teaching Students with Intellectual Disabilities","EDSP 667","Graduate","3","Both","95dab5b2-c70e-e911-8106-000c29a8e632","Education","Graduate","AFADA79E-C492-E511-A86B-0050569C00A7","University of Nevada Reno","Fifth Edition","531776e4-cf0e-e911-8106-000c29a8e632","51001 BCBA",
"bed59d29-d70e-e911-8106-000c29a8e632","bed59d29-d70e-e911-8106-000c29a8e632","Ethics in Special Education and Behavior Analysis","EDSP 728","Graduate","3","Both","95dab5b2-c70e-e911-8106-000c29a8e632","Education","Graduate","AFADA79E-C492-E511-A86B-0050569C00A7","University of Nevada Reno","Fifth Edition","bfd59d29-d70e-e911-8106-000c29a8e632","51001 BCBA",
"7fd19d9c-d70e-e911-8106-000c29a8e632","7fd19d9c-d70e-e911-8106-000c29a8e632","Behavior Change Procedures","EPY 657","Graduate","4","Online","301a9fc8-c20e-e911-8106-000c29a8e632","Education","Graduate","3F7383A1-F5B1-E811-8102-000C29A8E632","Western Connecticut State University","Fifth Edition","80d19d9c-d70e-e911-8106-000c29a8e632","51003 BCBA",
"0ef52807-d80e-e911-8106-000c29a8e632","0ef52807-d80e-e911-8106-000c29a8e632","Advanced Concepts and Principles of Behavior Analysis","EPY 658","Graduate","4","Online","301a9fc8-c20e-e911-8106-000c29a8e632","Education","Graduate","3F7383A1-F5B1-E811-8102-000C29A8E632","Western Connecticut State University","Fifth Edition","0ff52807-d80e-e911-8106-000c29a8e632","51003 BCBA",
