id,rc_reg_crse_insttn,rc_regcrs_deparmnt_crm,rc_crse_title,rc_crse_numbr,rc_crse_cdt_lvl,rc_crse_cdt_hrs,rc_cnthrs_editn,rc_cnthrs_strt_dat,rc_cnthrs_end_dat,rc_cnthrs_strt_yr,rc_cnthrs_end_yr,rc_cnthrs_strt_sem,rc_cnthrs_end_sem,rc_cnthrs_strt_qurtr,rc_cntnthrs_end_qtr,data_discrpncy_final_dta,rc_final_data_course_name,rc_rgsd_numbr,rc_rgs_typ_fnl,third_edition_cr_number,alterations,rc_cntnt_alloc_a1,rc_cnt_alloc_b1,rc_cntn_alloc_type_c1,rc_cnt_alloc_c2,rc_cntn_alloc_type_d1,rc_cntn_alloc_type_d2,rc_cntn_alloc_type_d3,rc_cntn_alloc_type_d4,rc_cntn_alloc_type_d5v,rc_cntn_alloc_type_e1,rc_cntn_alloc_type_5av,rc_cntn_alloc_type_5d,rc_cntn_alloc_type_5g,rc_cntn_alloc_type_5h,rc_cntn_alloc_type_5e,rc_cntn_alloc_type_5b,rc_cntn_alloc_type_5c,rc_cntn_alloc_type_5f
7283b1cc-cb0e-e911-8106-000c29a8e632 Fifth Edition,University of Nevada Reno,Education,Principles of Behavior Analysis in Special Education,EDSP 686,Graduate,3,Fifth Edition,,,,,,,,,,51001 BCBA,51001, BCBA,,,,,,,,,,,,,,,45,,,,,
36ae10dc-cd0e-e911-8106-000c29a8e632 Fifth Edition,University of Nevada Reno,Education,Behavioral Systems in Education,EDSP 687,Graduate,3,Fifth Edition,,,,,,,,,,51001 BCBA,51001, BCBA,,,,,,,,,,,,,,,,,,,12,18
531776e4-cf0e-e911-8106-000c29a8e632 Fifth Edition,University of Nevada Reno,Education,Teaching Students with Intellectual Disabilities,EDSP 667,Graduate,3,Fifth Edition,,,,,,,,,,51001 BCBA,51001, BCBA,,,,,,,,,,,,,,,,,,,30,6
bfd59d29-d70e-e911-8106-000c29a8e632 Fifth Edition,University of Nevada Reno,Education,Ethics in Special Education and Behavior Analysis,EDSP 728,Graduate,3,Fifth Edition,,,,,,,,,,51001 BCBA,51001, BCBA,,,,,,,,,,,,,45,,,,,,,
1d71d130-d80e-e911-8106-000c29a8e632 Fifth Edition,Western Connecticut State University,Education,Ethics and Professional Issues,EPY 660,Graduate,3,Fifth Edition,,,,,,,,,,51003 BCBA,51003, BCBA,,,,,,,,,,,,,45,,,,,,,
ea2fb414-d90e-e911-8106-000c29a8e632 Fifth Edition,University of Nevada Reno,Education,Advanced Behavior Management in Severe Disabilities,EDSP 721,Graduate,3,Fifth Edition,,,,,,,,,,51001 BCBA,51001, BCBA,,,,,,,,,,,,,,,,,,15,24,6
53132e1c-d80e-e911-8106-000c29a8e632 Fifth Edition,Western Connecticut State University,Education,Methods and Measurement in Applied Behavior Analysis,EPY 659,Graduate,4,Fifth Edition,,,,,,,,,,51003 BCBA,51003, BCBA,,,,,,,,,,,,,,,,,60,,,
0ff52807-d80e-e911-8106-000c29a8e632 Fifth Edition,Western Connecticut State University,Education,Advanced Concepts and Principles of Behavior Analysis,EPY 658,Graduate,4,Fifth Edition,,,,,,,,,,51003 BCBA,51003, BCBA,,,,,,,,,,,,,,45,,,,,,15
7bd933a4-da0e-e911-8106-000c29a8e632 Fifth Edition,University of Nevada Reno,Education,Assessment of Individuals with Severe Disabilities,EDSP 719,Graduate,3,Fifth Edition,,,,,,,,,,51001 BCBA,51001, BCBA,,,,,,,,,,,,,3,,,,,42,,
c866238d-c60e-e911-8106-000c29a8e632 Fifth Edition,Western Connecticut State University,Education,Behavior Assessment,EPY 656,Graduate,4,Fifth Edition,,,,,,,,,,51003 BCBA,51003, BCBA,,,,,,,,,,,,,,,,,,45,,15
80d19d9c-d70e-e911-8106-000c29a8e632 Fifth Edition,Western Connecticut State University,Education,Behavior Change Procedures,EPY 657,Graduate,4,Fifth Edition,,,,,,,,,,51003 BCBA,51003, BCBA,,,,,,,,,,,,,,,,,,,60,
7794a3ec-dd0e-e911-8106-000c29a8e632 Fifth Edition,University of Nevada Reno,Education,Special  Topics in Advanced Educational Measurement and Statistics - Single - Case Design & Analysis,EDRS 771,Graduate,3,Fifth Edition,,,,,,,,,,51001 BCBA,51001, BCBA,,,,,,,,,,,,,,,,,45,,,
95251a3a-e00e-e911-8106-000c29a8e632 Fifth Edition,University of Nevada Reno,Education,Philosophical Foundations of Behavior Analysis in Education,EDSP 727,Graduate,3,Fifth Edition,,,,,,,,,,51001 BCBA,51001, BCBA,,,,,,,,,,,,,,45,,,,,,
117c991f-890f-e911-8106-000c29a8e632 Fifth Edition 8/26/2019 4:00:00 AM,University of North Texas,Behavior Analysis,Meaningful Assessment in Applied Behavior Analysis,BEHV 5612,Graduate,3,Fifth Edition,8/26/2019,,,,,,,,,51002 BCBA,51002, BCBA,,,,,,,,,,,,,,,,,,45,,
96fd85f5-890f-e911-8106-000c29a8e632 Fifth Edition 8/26/2019 4:00:00 AM,University of North Texas,Behavior Analysis,Culturally Responsive Ethics in Behavioral Practice,BEHV 5613,Graduate,3,Fifth Edition,8/26/2019,12/5/2019,,,,,,,,51002 BCBA,51002, BCBA,,,,,,,,,,,,,45,,,,,,,
9c4531ee-910f-e911-8106-000c29a8e632 Fifth Edition 1/13/2020 5:00:00 AM,University of North Texas,Behavior Analysis,"ABA Foundations, Concepts, and Principles 2",BEHV 5618,Graduate,3,Fifth Edition,1/13/2020,,,,,,,,,51002 BCBA,51002, BCBA,,{Term:Spring}{Year:2020},,,,,,,,,,,,,45,,,,,
6e641d39-950f-e911-8106-000c29a8e632 Fifth Edition 1/13/2020 5:00:00 AM,University of North Texas,Behavior Analysis,Fundamentals and Techniques of Compassionate and Effective Behavior Change,BEHV 5619,Graduate,3,Fifth Edition,1/13/2020,,,,,,,,,51002 BCBA,51002, BCBA,,,,,,,,,,,,,,,,,,,45,
42cad2de-980f-e911-8106-000c29a8e632 Fifth Edition 1/13/2020 5:00:00 AM,University of North Texas,Behavior Analysis,Evidence-Based Practice: Understanding and Applying Applied Behavior Analytic Research,BEHV 5622,Graduate,3,Fifth Edition,1/13/2020,,,,,,,,,51002 BCBA,51002, BCBA,,,,,,,,,,,,,,,,,45,,,
