RC Institution,RC Department,RC Registered Course Name,VCS #,VCS Name,Course Title,Course Number,Course Credit level,Course Credit Hours,Edition,Alternate Course Values,Start Date,End Date,Start Year,End Year,Start Semester,End Semester,Start Quarter,End Quarter,A1,B1,C1,C2,D1,D2,D3,D4,D5,E1,5A,5B (B1),5B (B2),5B (B3),5C1-C2,5D1,5D2-D5 (D2),5D2-D5 (D3)
ABA Centre ROSTOK,Resource Center for Inclusion in Education,4393 BCBA,4393, BCBA,Research Methods In Behavior Analysis,Module IV,Graduate,3,Fourth Edition,,5/5/2016,,2016,,,,,,,5,20,20,,,,,,,,,,,,,,
ABA Centre ROSTOK,Resource Center for Inclusion in Education,4393 BCBA,4393, BCBA,Ethical and Professional Conduct,Module VI,Graduate,3,Fourth Edition,,5/5/2016,,2016,,,,,,45,,,,,,,,,,,,,,,,,
ABA Centre ROSTOK,Resource Center for Inclusion in Education,4393 BCBA,4393, BCBA,Fundamental Elements of Behavior Change and Specific Behavior Change Procedures,Module III,Graduate,3,Fourth Edition,,5/5/2016,,2016,,,,,,,,,,,40,,5,,,,,,,,,,
ABA Centre ROSTOK,Resource Center for Inclusion in Education,4393 BCBA,4393, BCBA,Topics in Behavior Analysis,Module IVa,Graduate,3,Fourth Edition,,5/5/2016,,2016,,,,,,15,5,5,5,,,,,5,10,,,,,,,,
ABA Centre ROSTOK,Resource Center for Inclusion in Education,4393 BCBA,4393, BCBA,Problem Identification and Assessment,Module II,Graduate,3,Fourth Edition,,5/5/2016,,2016,,,,,,,,5,,30,5,5,,,,,,,,,,,
ABA Centre ROSTOK,Resource Center for Inclusion in Education,4393 BCBA,4393, BCBA,Concepts and Principles of Behavior Analysis,Module I,Graduate,3,Fourth Edition,,5/5/2016,,2016,,,,,,,40,,,,,,,,5,,,,,,,,
ABA Centre ROSTOK,Resource Center for Inclusion in Education,4393 BCBA,4393, BCBA,Advanced Topics in Behavior Analysis,Module V,Graduate,3,Fourth Edition,,5/5/2016,,2016,,,,,,,,,,,,5,5,10,25,,,,,,,,
ABA España,ABA España,4316 BCBA,4316, BCBA,ETHICAL AND PROFESSIONAL CONDUCT,ABAE5,Graduate,45,Fourth Edition,{Number:ABAE5},7/14/2015,,2015,,,,,,45,,,,,,,,,,,,,,,,,
ABA España,ABA España,4316 BCBA,4316, BCBA,BEHAVIOR MEASUREMENT AND EXPERIMENTAL DESIGN,ABAE2,Graduate,36,Fourth Edition,{Number:ABAE2},7/14/2015,,2015,,,,,,,,18,18,,,,,,,,,,,,,,
ABA España,ABA España,4316 BCBA,4316, BCBA,APPLIED BEHAVIOR ANALYSIS 2: BEHAVIORAL ASSESSMENT AND TREATMENT IN PEOPLE WITH AUTISM SPECTRUM DISORDER,ABAE4,Graduate,55,Fourth Edition,{Number:ABAE4},7/14/2015,,2015,,,,,,,2,2,2,17,11,7,1,10,3,,,,,,,,
ABA España,ABA España,4316 BCBA,4316, BCBA,DISCRETIONARY CONTENT ON ASSESSMENT AND TREATMENT IN ASD,ABAE6,Graduate,27,Fourth Edition,{Number:ABAE6},7/14/2015,,2015,,,,,,,,,,,,,,,27,,,,,,,,
ABA España,ABA España,4316 BCBA,4316, BCBA,CONCEPTS AND PRINCIPLES OF BEHAVIOR ANALYSIS,ABAE1,Graduate,43,Fourth Edition,{Number:ABAE1},7/14/2015,,2015,,,,,,,43,,,,,,,,,,,,,,,,
ABA España,ABA España,4316 BCBA,4316, BCBA,APPLIED BEHAVIOR ANALYSIS 1: BEHAVIORAL ASSESSMENT AND TREATMENT IN PEOPLE WITH AUTISM SPECTRUM DISORDER,ABAE3,Graduate,68,Fourth Edition,{Number:ABAE3},7/14/2015,,2015,,,,,,,,5,,13,35,4,9,,,,,,,,,,
