"custrecord_rc_crse_crm_id","externalid","custrecord_rc_course_title","custrecord_rc_course_number","custrecord_rc_course_credit_level","custrecord_rc_course_credit_hours","custrecord_rc_course_instruction_mode","custrecord_rc_course_institution_name_uniq","custrecord_rc_course_institution_name","custrecord_rc_course_inst","custrecord_rc_course_dept",
"1c143c2d-63a5-e811-886b-000d3a30c887","1c143c2d-63a5-e811-886b-000d3a30c887","[Starting Spring 2019] Intermediate Clinical Practicum: ABA","PSY 693","Graduate","1-2","On-Campus","University of North Carolina Wilmington","University of North Carolina Wilmington","BC3BB648-FAB1-E411-B490-0050569C00A7","Psychology",
"e6662005-34e8-e811-8954-000d3a30c887","e6662005-34e8-e811-8954-000d3a30c887","Practicum I","ABA 646","Graduate","vary","Online","Regis College","Regis College","2FC0736E-F05A-E911-8106-000C29A8E632","Applied Behavior Analysis",
"a73dd2e8-dd6c-e911-8106-000c29a8e632","a73dd2e8-dd6c-e911-8106-000c29a8e632","Behavioral Consultation and Management","BAT 507","Graduate","3","Both","Southern Illinois University","Southern Illinois University","9F45FDBA-5681-E411-B490-0050569C00A7","Psychology",
"eed9ef80-df6c-e911-8106-000c29a8e632","eed9ef80-df6c-e911-8106-000c29a8e632","Scientific Methods: Single Subject Design","BAT 509a","Graduate","3","Both","Southern Illinois University","Southern Illinois University","9F45FDBA-5681-E411-B490-0050569C00A7","Psychology",
"54d731a8-e06c-e911-8106-000c29a8e632","54d731a8-e06c-e911-8106-000c29a8e632","Legal and Ethical Issues in Behavior Analysis","BAT 512","Graduate","3","Both","Southern Illinois University","Southern Illinois University","9F45FDBA-5681-E411-B490-0050569C00A7","Psychology",
"586fdc12-e66c-e911-8106-000c29a8e632","586fdc12-e66c-e911-8106-000c29a8e632","Behavioral Observation Methods","BAT 535","Graduate","3","Both","Southern Illinois University","Southern Illinois University","9F45FDBA-5681-E411-B490-0050569C00A7","Psychology",
"98a8f5d9-e66c-e911-8106-000c29a8e632","98a8f5d9-e66c-e911-8106-000c29a8e632","Applications of ABA","REHB 589","Graduate","3","Both","Southern Illinois University","Southern Illinois University","9F45FDBA-5681-E411-B490-0050569C00A7","Psychology",
"1f7305bf-e86c-e911-8106-000c29a8e632","1f7305bf-e86c-e911-8106-000c29a8e632","Radical Behaviorism","REHB 589","Graduate","3","Both","Southern Illinois University","Southern Illinois University","9F45FDBA-5681-E411-B490-0050569C00A7","Psychology",
"557d65a9-fc6d-e911-8106-000c29a8e632","557d65a9-fc6d-e911-8106-000c29a8e632","Group 1 in ABA (SUP and ADV Methodologies)","ABA 640","Graduate","3","Both","Bay Path University","Bay Path University","4E99D86B-6200-E411-BEB5-00505683000D","Education and Psychology",
"ff937e7a-556e-e911-8106-000c29a8e632","ff937e7a-556e-e911-8106-000c29a8e632","Ethical issues in the of behavior analysis","1 ethics","Undergraduate","30","On-Campus","","Levinsky College of Education","4462EB79-EA48-EA11-8140-000C29A8E632","Education",
