"custrecord_rc_hr_alloc_content_hours","custrecord_rc_hr_alloc_type","custrecord_rc_hr_alloc_value","custrecord_rc_cntntarea_hrs_alloc_crm_id","content_hours_pk",
"9210a478-ff87-e911-810c-000c29a8e632","Behavior Change Systems","10.00","9210a478-ff87-e911-810c-000c29a8e632","8610a478-ff87-e911-810c-000c29a8e632 Fourth Edition 8/1/2015 4:00:00 AM",
"8427d075-258b-4aa5-97a3-0369be2fee8b","Concepts & Principles of Behavior Analysis","5.00","8427d075-258b-4aa5-97a3-0369be2fee8b","8b6b0ebe-bf52-4493-ba32-c4525db16d20 Fourth Edition 5/5/2016 12:00:00 AM",
"4f3972e9-7f2f-4cc8-85a8-056341b99282","Measurement (including data analysis)","25.00","4f3972e9-7f2f-4cc8-85a8-056341b99282","e3a22af0-ddb9-40e6-9616-a20221b17dca Fourth Edition",
"93196fdf-9737-4263-83e0-07647a1a4781","Intervention & Behavior Change Considerations","10.00","93196fdf-9737-4263-83e0-07647a1a4781","e75df265-7cd5-41ac-88cb-383e5b7ec9fb Fourth Edition",
"f05cdd17-3e10-4cd1-86b3-0fc2af90a5de","Measurements, Data Display and Interpretation; Experimental Design","45.00","f05cdd17-3e10-4cd1-86b3-0fc2af90a5de","74fae702-d3cc-4520-a9c0-070affe36cfa Fifth Edition",
"83e97695-e459-44a1-8e25-20a6dcbd9dc4","Behavior Change Systems","2.00","83e97695-e459-44a1-8e25-20a6dcbd9dc4","1600de52-1e91-4a0c-8fd1-77e5f262cd71 Fourth Edition",
"79e1ba0b-5fe1-e911-8122-000c29a8e632","Implementation, Management, and Supervision","5.00","79e1ba0b-5fe1-e911-8122-000c29a8e632","4c8ff8fe-5ee1-e911-8122-000c29a8e632 Fourth Edition 9/30/2019 4:00:00 AM",
"2717920c-18df-e911-8122-000c29a8e632","Identification of the Problem & Assessment","24.00","2717920c-18df-e911-8122-000c29a8e632","2117920c-18df-e911-8122-000c29a8e632 Fourth Edition 1/28/2019 5:00:00 AM",
"b506695a-40da-e911-8121-000c29a8e632","Intervention & Behavior Change Considerations","3.00","b506695a-40da-e911-8121-000c29a8e632","28c0f453-40da-e911-8121-000c29a8e632 Fourth Edition 8/19/2019 4:00:00 AM",
"9f815dd7-2303-ea11-812e-000c29a8e632","Concepts & Principles","1.00","9f815dd7-2303-ea11-812e-000c29a8e632","e660dccd-2103-ea11-812e-000c29a8e632 Fifth Edition 3/13/2021 5:00:00 AM",
"55b49a87-850c-ea11-8130-000c29a8e632","Concepts & Principles","15.00","55b49a87-850c-ea11-8130-000c29a8e632","958c9dfa-830c-ea11-8130-000c29a8e632 Fifth Edition 8/26/2019 4:00:00 AM",
"1da549f8-928b-e911-810d-000c29a8e632","BACB Compliance Code and Disciplinary Systems; Professionalism","45.00","1da549f8-928b-e911-810d-000c29a8e632","31ae5d22-928b-e911-810d-000c29a8e632 Fifth Edition 10/6/2019 4:00:00 AM",
"ab6be380-2f94-e911-810e-000c29a8e632","Concepts & Principles of Behavior Analysis","7.00","ab6be380-2f94-e911-810e-000c29a8e632","66dfaf91-2e94-e911-810e-000c29a8e632 Fourth Edition 8/26/2017 4:00:00 AM",
"797edec9-1496-e911-810e-000c29a8e632","Concepts & Principles of Behavior Analysis","30.00","797edec9-1496-e911-810e-000c29a8e632","6d7edec9-1496-e911-810e-000c29a8e632 Fourth Edition 8/31/2013 4:00:00 AM",
"df37a208-7b98-e911-810e-000c29a8e632","Concepts & Principles","3.00","df37a208-7b98-e911-810e-000c29a8e632","253420e9-1a98-e911-810e-000c29a8e632 Fifth Edition 4/1/2019 4:00:00 AM",
