"institution_name","accredtype","accred_inst","institute_crm_id","department_name"
"Levinsky College of Education","Semester","Council for Higher Education (Israel)","4462EB79-EA48-EA11-8140-000C29A8E632","Education"
"University of Miami","Semester","Southern Association of Colleges and Schools Commission on Colleges","1B8B3538-955B-E911-8106-000C29A8E632","Psychology"
"Capella University","Quarter","Higher Learning Commission","84E7FC4D-6200-E411-BEB5-00505683000D","Psychology"
"Capella University","Quarter","Higher Learning Commission","84E7FC4D-6200-E411-BEB5-00505683000D","Psychology"
"Wichita State University","Semester","Higher Learning Commission","9755E065-6200-E411-BEB5-00505683000D","Counseling, Educational Leadership, Educational & School Psychology (CLES)"
"Northern Illinois University","Semester","Higher Learning Commission","46A77ECA-D75A-E911-8106-000C29A8E632",""
"University of Waikato","University of Waikato Point System (120pts = full time year)","New Zealand Psychologists Board","1D55E065-6200-E411-BEB5-00505683000D",""
"Hebrew University of Jerusalem","Semester","Council for higher education (CHE),Ministry of Education, Culture and Sport","0E88E5FF-1D5A-E911-8106-000C29A8E632",""
"Stockholm University","Semester","Stockholm University","8A57CC79-065B-E911-8106-000C29A8E632",""
"Our Sunny World","Semester","alternative path","14138C04-E25A-E911-8106-000C29A8E632","Applied Behavior Analysis"
"West Virginia University","Semester","Higher Learning Commission","337383A1-F5B1-E811-8102-000C29A8E632",""
"Our Sunny World","Semester","alternative path","14138C04-E25A-E911-8106-000C29A8E632","Applied Behavior Analysis"
"Florida International University","Semester","Southern Association of Colleges and Schools Commission on Colleges","F98CF753-6200-E411-BEB5-00505683000D",""
"Long Island University","Semester","Middle States Commission on Higher Education","79028965-BAB2-E411-BF61-0050569C00A7",""
"Vanderbilt University","Semester","Southern Association of Colleges and Schools Commission on Colleges","3C55E065-6200-E411-BEB5-00505683000D",""
"ABA Training Solutions","","Alternative Pathway","F6102C78-BD54-E911-8106-000C29A8E632",""
"Keiser University","Semester","Southern Association of Colleges and Schools Comission on Colleges","C724B627-375A-E911-8106-000C29A8E632","Psychology "
"Reykjavík University","European Credit Transfer System","Icelandic Ministry of Education","FEAF17E3-F15A-E911-8106-000C29A8E632",""
"ABA España","Courses taught sequentially over the expand of one year","Sulukeyat Center","0857E065-6200-E411-BEB5-00505683000D",""
"Saint Louis University","Semester","Higher Learning Commission","F14763AB-F668-E411-B490-0050569C00A7",""
"Northeastern University","Semester","New England Commission of Higher Education","10D0EF59-6200-E411-BEB5-00505683000D","Psychology"
"University of North Texas","Semester","Southern Association of Colleges and Schools Commission on Colleges","2314E85F-6200-E411-BEB5-00505683000D","Behavior Analysis"
"University of North Texas","Semester","Southern Association of Colleges and Schools Commission on Colleges","2314E85F-6200-E411-BEB5-00505683000D","Behavior Analysis"
"Faculdade INESP","8-hour Modules (2 modules per month)","Ministry of Education (MEC) in Brazil","5378C7C0-EB48-EA11-8140-000C29A8E632","Education"
"Association Agir et Vivre l'Autisme","per class","Association Agir et Vivre l'Autisme","C4EA6C4C-4855-E911-8106-000C29A8E632",""
